#CalDate[0], Epoch[1], GeigerHits[2]
2015-07-19 18:28:57,1437330537,2
2015-07-19 18:29:00,1437330540,1
2015-07-19 18:29:02,1437330542,1
2015-07-19 18:29:04,1437330544,1
2015-07-19 18:29:06,1437330546,1
2015-07-19 18:29:07,1437330547,3
2015-07-19 18:29:09,1437330549,2
2015-07-19 18:29:15,1437330555,1
2015-07-19 18:29:28,1437330568,1
2015-07-19 18:29:29,1437330569,1
2015-07-19 18:29:30,1437330570,1
2015-07-19 18:29:33,1437330573,1
2015-07-19 18:29:35,1437330575,1
2015-07-19 18:29:36,1437330576,1
2015-07-19 18:29:39,1437330579,1
2015-07-19 18:29:41,1437330581,1
2015-07-19 18:29:43,1437330583,1
2015-07-19 18:29:44,1437330584,1
2015-07-19 18:29:48,1437330588,1
2015-07-19 18:29:49,1437330589,1
2015-07-19 18:29:52,1437330592,2
2015-07-19 18:29:59,1437330599,2
2015-07-19 18:30:00,1437330600,1
2015-07-19 18:30:19,1437330619,1
2015-07-19 18:30:26,1437330626,2
2015-07-19 18:30:29,1437330629,2
2015-07-19 18:30:30,1437330630,1
2015-07-19 18:30:34,1437330634,2
2015-07-19 18:30:36,1437330636,1
2015-07-19 18:30:42,1437330642,1
2015-07-19 18:30:45,1437330645,1
2015-07-19 18:30:49,1437330649,1
2015-07-19 18:30:52,1437330652,1
2015-07-19 18:30:53,1437330653,1
2015-07-19 18:30:59,1437330659,1
2015-07-19 18:31:03,1437330663,1
