MET,Acc(HI),Acc/Baro(LO),Baro(HI),State
20.460,503,140,387,3
20.480,502,140,387,3
20.500,502,200,386,3
20.520,503,136,386,3
20.540,503,136,386,3
20.560,503,200,386,3
20.580,502,196,385,3
20.600,502,196,385,3
20.620,502,196,385,3
20.640,503,196,385,3
20.660,502,196,385,3
20.680,502,196,385,3
20.700,503,128,384,3
20.720,503,192,384,3
20.740,503,128,384,3
20.760,503,128,384,3
20.780,502,192,384,3
20.800,502,192,384,3
20.820,503,192,384,3
20.840,502,128,384,3
20.860,503,128,384,3
20.880,503,140,383,3
20.900,503,192,384,3
20.920,503,128,384,3
20.940,503,140,383,3
20.960,503,204,383,3
20.980,502,204,383,3
21.000,502,204,383,3
21.020,503,204,383,3
21.040,503,140,383,3
21.060,503,136,382,3
21.080,503,200,382,3
21.100,503,136,382,3
21.120,502,200,382,3
21.140,503,200,382,3
21.160,503,200,382,3
21.180,503,196,381,3
21.200,503,196,381,3
21.220,502,200,382,3
21.240,502,136,382,3
21.260,503,132,381,3
21.280,504,196,381,3
21.300,503,196,381,3
21.320,503,196,381,3
21.340,503,196,381,3
21.360,503,192,380,3
21.380,503,128,380,3
21.400,503,192,380,3
21.420,503,192,380,3
21.440,503,192,380,3
21.460,503,192,380,3
21.480,502,128,380,3
21.500,503,128,380,3
21.520,503,204,379,3
21.540,502,0,380,3
21.560,502,204,379,3
21.580,503,204,379,3
21.600,503,204,379,3
21.620,503,204,379,3
21.640,503,204,379,3
21.660,503,204,379,3
21.680,503,204,379,3
21.700,503,200,378,3
21.720,503,200,378,3
21.740,503,136,378,3
21.760,503,200,378,3
21.780,503,200,378,3
21.800,503,136,378,3
21.820,503,132,377,3
21.840,503,196,377,3
21.860,503,196,377,3
21.880,503,196,377,3
21.900,503,196,377,3
21.920,503,192,376,3
21.940,503,196,377,3
21.960,503,196,377,3
21.980,503,196,377,3
22.000,503,192,376,3
22.020,502,196,377,3
22.040,503,192,376,3
22.060,502,192,376,3
22.080,503,192,376,3
22.100,503,192,376,3
22.120,503,192,376,3
22.140,503,192,376,3
22.160,503,192,376,3
22.180,503,192,376,3
22.200,502,192,376,3
22.220,503,204,375,3
22.240,502,204,375,3
22.260,503,192,376,3
22.280,503,140,375,3
22.300,503,204,375,3
22.320,503,140,375,3
22.340,502,204,375,3
22.360,503,200,374,3
22.380,503,204,375,3
22.400,502,200,374,3
22.420,503,204,375,3
22.440,503,200,374,3
22.460,503,136,374,3
22.480,504,200,374,3
22.500,503,136,374,3
22.520,503,200,374,3
22.540,503,200,374,3
22.560,503,200,374,3
22.580,503,196,373,3
22.600,503,132,373,3
22.620,503,196,373,3
22.640,504,196,373,3
22.660,503,132,373,3
22.680,503,196,373,3
22.700,503,192,372,3
22.720,503,196,373,3
22.740,504,0,372,3
22.760,503,192,372,3
22.780,503,192,372,3
22.800,502,192,372,3
22.820,503,192,372,3
22.840,503,192,372,3
22.860,503,192,372,3
22.880,503,192,372,3
22.900,503,0,372,3
22.920,504,204,371,3
22.940,503,204,371,3
22.960,503,204,371,3
22.980,503,204,371,3
23.000,503,12,371,3
23.020,503,204,371,3
23.040,504,204,371,3
23.060,503,140,371,3
